id,title,category,company,format,level,salary,link
30360,devops engineer,devops,NDA,удалённо,middle,~ от 204 600 ₽,https://hirehi.ru/devops/devops-engineer-30360
30359,business analyst,analytics,NDA,удалённо,senior,~ от 314 200 ₽,https://hirehi.ru/analytics/business-analyst-30359
30358,flutter разработчик,development,CardioFlow,удалённо,senior,от 300 000 ₽,https://hirehi.ru/development/flutter-razrabotchik-30358
30357,бизнес аналитик,analytics,Ozon,удалённо,middle,~ от 250 300 ₽,https://hirehi.ru/analytics/biznes-analitik-30357
30356,qa engineer (manual),qa,NDA,удалённо,senior,~ от 348 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-30356
30355,системный инженер,devops,SimpleWine,гибрид Москва,lead,~ от 244 100 ₽,https://hirehi.ru/devops/sistemnyi-inzhener-30355
30354,automation qa,qa,NDA,удалённо по РФ,senior,~ от 314 700 ₽,https://hirehi.ru/qa/automation-qa-30354
30353,1с разработчик,development,NDA,офис Питер,senior,~ от 353 600 ₽,https://hirehi.ru/development/1s-razrabotchik-30353
30352,business analyst,analytics,NDA,офис Екатеринбург,middle,~ от 175 600 ₽,https://hirehi.ru/analytics/business-analyst-30352
30350,Golang Developer,development,MAX,удалённо по РФ,senior,~ от 358 900 ₽,https://hirehi.ru/development/golang-developer-30350
30345,Frontend разработчик,development,Cvat,удалённо,senior,~ от 362 400 ₽,https://hirehi.ru/development/frontend-razrabotchik-30345
30344,системный аналитик,analytics,БФТ-Холдинг,удалённо по РФ,lead,~ от 328 100 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-30344
30342,.net backend разработчик,development,NDA,гибрид Лимассол,middle,~ от 273 800 ₽,https://hirehi.ru/development/net-backend-razrabotchik-30342
30341,automation qa,qa,2ГИС,удалённо,senior,~ от 318 700 ₽,https://hirehi.ru/qa/automation-qa-30341
30340,менеджер продукта,management,Ozon,удалённо,junior,~ от 120 800 ₽,https://hirehi.ru/management/menedzher-produkta-30340
30339,computer vision engineer,development,Omega Solution,удалённо,senior,от 350 000 ₽,https://hirehi.ru/development/computer-vision-engineer-30339
30338,Graphic Designer (Middle / Middle+),design,01.tech,удалённо,middle,,https://hirehi.ru/design/graphic-designer-middle-middle-30338
30337,product manager,management,Магнит,удалённо по РФ,middle,~ от 252 800 ₽,https://hirehi.ru/management/product-manager-30337
30336,.net developer,development,CodifySoft,удалённо,senior,250 000 ₽,https://hirehi.ru/development/net-developer-30336
30335,qa engineer (manual),qa,NDA,удалённо,lead,~ от 314 300 ₽,https://hirehi.ru/qa/qa-engineer-manual-30335
30330,DevOps Engineer,devops,Сбер,гибрид Москва,junior,~ от 121 500 ₽,https://hirehi.ru/devops/devops-engineer-30330
30329,Тестировщик (auto),qa,Сбер,гибрид Москва,middle,~ от 208 900 ₽,https://hirehi.ru/qa/testirovschik-auto-30329
30322,data analyst,analytics,Trafmasters,удалённо,middle,~ от 231 300 ₽,https://hirehi.ru/analytics/data-analyst-30322
30321,инженер по тестированию (manual),qa,Яндекс Алиса,гибрид Питер,middle,~ от 186 100 ₽,https://hirehi.ru/qa/inzhener-po-testirovaniyu-manual-30321
30320,php developer,development,NDA,удалённо,senior,до 350 000 ₽,https://hirehi.ru/development/php-developer-30320
30319,product manager,management,NDA,удалённо,middle,~ от 252 600 ₽,https://hirehi.ru/management/product-manager-30319
30318,Product Owner,management,ВТБ,удалённо по РФ,senior,~ от 348 000 ₽,https://hirehi.ru/management/product-owner-30318
30317,c# разработчик,development,NDA,удалённо по РФ,senior,~ от 230 000 ₽,https://hirehi.ru/development/c-razrabotchik-30317
30316,DevOps инженер,devops,Касперский,гибрид Москва,middle,зп не указана,https://hirehi.ru/devops/devops-inzhener-30316
30312,python developer,development,NDA,удалённо,senior,от 180 000 ₽,https://hirehi.ru/development/python-developer-30312
30311,.net developer,development,NDA,удалённо по РФ,senior,260 000 ₽,https://hirehi.ru/development/net-developer-30311
30310,business analyst,analytics,NDA,удалённо,middle,~ от 162 600 ₽,https://hirehi.ru/analytics/business-analyst-30310
30309,automation qa,qa,NDA,удалённо,middle,~ от 190 000 ₽,https://hirehi.ru/qa/automation-qa-30309
30308,ux/ui designer,design,NDA,офис Кипр,senior,~ от 321 400 ₽,https://hirehi.ru/design/ux-ui-designer-30308
30307,NodeJS разработчик,development,Fans CRM,удалённо,senior,от 200 000 ₽,https://hirehi.ru/development/nodejs-razrabotchik-30307
30306,react native developer,development,InvestEngine,удалённо,middle,~ от 280 000 ₽,https://hirehi.ru/development/react-native-developer-30306
30301,Data Engineer,development,Selectel,гибрид Питер,middle,~ от 232 900 ₽,https://hirehi.ru/development/data-engineer-30301
30300,Java Developer,development,Ozon,офис Москва,senior,~ от 352 300 ₽,https://hirehi.ru/development/java-developer-30300
30294,data analyst,analytics,Omega Solutions,удалённо,middle,210 000 ₽,https://hirehi.ru/analytics/data-analyst-30294
30291,product designer,design,BCC,удалённо,senior,~ от 237 900 ₽,https://hirehi.ru/design/product-designer-30291
30290,аналитик данных,analytics,NDA,офис Ташкент,middle,от 76 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-30290
30289,product analyst,analytics,NDA,удалённо,middle,~ от 254 900 ₽,https://hirehi.ru/analytics/product-analyst-30289
30288,Data Engineer,development,Yandex Cloud,гибрид Питер,senior,~ от 341 000 ₽,https://hirehi.ru/development/data-engineer-30288
30285,full stack developer,development,NDA,удалённо,senior,~ от 359 400 ₽,https://hirehi.ru/development/full-stack-developer-30285
30284,Product Designer,design,Брусника,офис Екатеринбург,lead,~ от 244 100 ₽,https://hirehi.ru/design/product-designer-30284
30280,разработчик 1c,development,SkillStaff,удалённо,senior,до 400 000 ₽,https://hirehi.ru/development/razrabotchik-1c-30280
30279,full stack developer,development,ProSense,удалённо,middle,от 125 000 ₽,https://hirehi.ru/development/full-stack-developer-30279
30278,infrastructure engineer,devops,Т1,удалённо,middle,~ от 186 700 ₽,https://hirehi.ru/devops/infrastructure-engineer-30278
30275,Kotlin разработчик,development,Яндекс Маркет,офис Питер,middle,~ от 235 700 ₽,https://hirehi.ru/development/kotlin-razrabotchik-30275
30274,Product Manager,management,Яндекс Финтех,гибрид Москва,senior,~ от 353 300 ₽,https://hirehi.ru/management/product-manager-30274
30273,fullstack developer,development,NDA,удалённо,senior,~ от 410 900 ₽,https://hirehi.ru/development/fullstack-developer-30273
30267,c#/.net разработчик,development,Цифровые привычки,удалённо по РФ,senior,от 300 000 ₽,https://hirehi.ru/development/c-net-razrabotchik-30267
30266,системный аналитик,analytics,Luna Capital,удалённо,senior,230 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-30266
30265,automation qa,qa,Volna.tech,удалённо по РФ,senior,от 250 000 ₽,https://hirehi.ru/qa/automation-qa-30265
30264,devops engineer,devops,NDA,удалённо по РФ,senior,~ от 342 800 ₽,https://hirehi.ru/devops/devops-engineer-30264
30263,руководитель проектов,management,Мастерская систем,гибрид Москва,middle,от 288 000 ₽,https://hirehi.ru/management/rukovoditel-proektov-30263
30262,automation qa,qa,Volna.tech,удалённо по РФ,senior,268 000 ₽,https://hirehi.ru/qa/automation-qa-30262
30261,автоматизатор тестирования,qa,NDA,удалённо,senior,~ от 277 300 ₽,https://hirehi.ru/qa/avtomatizator-testirovaniya-30261
30260,business analyst,analytics,Opiniq.com,офис Лимассол,middle,~ от 237 800 ₽,https://hirehi.ru/analytics/business-analyst-30260
30258,qa engineer (manual),qa,Арт-Финтех,удалённо по РФ,senior,до 180 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-30258
30257,Product Owner (tech),management,Яндекс Инфраструктура,удалённо,senior,~ от 351 200 ₽,https://hirehi.ru/management/product-owner-tech-30257
30253,тестировщик (manual),qa,Devquality,удалённо,senior,до 220 000 ₽,https://hirehi.ru/qa/testirovschik-manual-30253
30252,Аналитик данных,analytics,2ГИС,удалённо,senior,~ от 245 200 ₽,https://hirehi.ru/analytics/analitik-dannyh-30252
30251,business analyst,analytics,NDA,удалённо,middle,~ от 227 500 ₽,https://hirehi.ru/analytics/business-analyst-30251
30250,графический дизайнер,design,I Am Pijama,удалённо,middle,до 50 000 ₽,https://hirehi.ru/design/graficheskii-dizainer-30250
30249,java developer,development,itvolna.tech,удалённо по РФ,junior,от 100 000 ₽,https://hirehi.ru/development/java-developer-30249
30248,project manager,management,People Awards,удалённо,junior,30 000 ₽,https://hirehi.ru/management/project-manager-30248
30247,python developer,development,NDA,удалённо,senior,375 000 ₽,https://hirehi.ru/development/python-developer-30247
30246,ai разработчик,development,NDA,гибрид Мюнхен,senior,~ от 617 000 ₽,https://hirehi.ru/development/ai-razrabotchik-30246
30233,Senior Communication / Web Designer,design,-,удалённо,senior,,https://hirehi.ru/design/senior-communication-web-designer-30233
30241,системный аналитик,analytics,NDA,удалённо по РФ,middle,~ от 218 300 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-30241
30234,Менеджер продукта,management,Плюс Фантех,гибрид Алматы/Ташкент,senior,~ от 338 000 ₽,https://hirehi.ru/management/menedzher-produkta-30234
30232,fullstack developer,development,NDA,офис Москва,junior,~ от 82 100 ₽,https://hirehi.ru/development/fullstack-developer-30232
30230,product designer,design,NDA,гибрид Минск,middle,от 120 000 ₽,https://hirehi.ru/design/product-designer-30230
30229,react native разработчик,development,NDA,удалённо,middle,250 000 ₽,https://hirehi.ru/development/react-native-razrabotchik-30229
30228,php разработчик,development,Utouch,удалённо,middle,от 150 000 ₽,https://hirehi.ru/development/php-razrabotchik-30228
