country,role,level,min_eur,max_eur,range_eur
France,BI Analyst,sme,44,50,6
France,BI Analyst,st,46,52,6
France,BI Analyst,co,47,53,6
France,BI Developer,sme,39,46,7
France,BI Developer,st,49,58,9
France,BI Developer,co,50,59,9
France,BI Manager,sme,73,83,10
France,BI Manager,st,77,88,11
France,BI Manager,co,100,109,9
France,Cyber Security Analyst,sme,49,55,6
France,Cyber Security Analyst,st,49,59,10
France,Cyber Security Analyst,co,49,59,10
France,Data Analyst,sme,47,53,6
France,Data Analyst,st,51,58,7
France,Data Analyst,co,51,58,7
France,Data Engineer,sme,50,64,14
France,Data Engineer,st,64,82,18
France,Data Engineer,co,77,97,20
France,Devops Engineer,sme,43,55,12
France,Devops Engineer,st,53,68,15
France,Devops Engineer,co,63,81,18
France,Frontend Developer,sme,47,58,11
France,Frontend Developer,st,61,74,13
France,Frontend Developer,co,72,86,14
France,Full Stack Developer,sme,48,60,12
France,Full Stack Developer,st,63,77,14
France,Full Stack Developer,co,68,79,11
France,Machine Learning Engineer,sme,60,75,15
France,Machine Learning Engineer,st,84,94,10
France,Machine Learning Engineer,co,92,100,8
France,Network Architect,sme,46,58,12
France,Network Architect,st,50,61,11
France,Network Architect,co,68,79,11
France,Python Developer,sme,41,49,8
France,Python Developer,st,57,68,11
France,Python Developer,co,60,72,12
France,QA Analyst,sme,47,53,6
France,QA Analyst,st,49,54,5
France,QA Analyst,co,49,54,5
France,QA Engineer,sme,46,48,2
France,QA Engineer,st,56,61,5
France,QA Engineer,co,60,65,5
France,QA Manager,sme,70,100,30
France,QA Manager,st,79,111,32
France,QA Manager,co,79,110,31
France,Salesforce Developer,sme,38,45,7
France,Salesforce Developer,st,37,45,8
France,Salesforce Developer,co,44,53,9
France,Scrum Master,sme,45,54,9
France,Scrum Master,st,52,59,7
France,Scrum Master,co,62,75,13
France,Software Developer,sme,47,56,9
France,Software Developer,st,63,75,12
France,Software Developer,co,67,79,12
France,Software Engineer,sme,48,62,14
France,Software Engineer,st,55,72,17
France,Software Engineer,co,78,99,21
France,Software Engineering Manager,sme,74,81,7
France,Software Engineering Manager,st,90,98,8
France,Software Engineering Manager,co,122,133,11
France,Solutions Analyst,sme,49,58,9
France,Solutions Analyst,st,52,67,15
France,Solutions Analyst,co,53,67,14
France,Systems Architect,sme,66,76,10
France,Systems Architect,st,58,68,10
France,Systems Architect,co,100,121,21
France,Systems Engineer,sme,53,62,9
France,Systems Engineer,st,63,73,10
France,Systems Engineer,co,67,78,11
France,Test Automation Engineer,sme,36,45,9
France,Test Automation Engineer,st,38,44,6
France,Test Automation Engineer,co,50,58,8
Germany,Applications Developer,sme,50,62,12
Germany,Applications Developer,st,70,80,10
Germany,Applications Developer,co,71,81,10
Germany,Automation Engineer,sme,50,53,3
Germany,Automation Engineer,st,61,67,6
Germany,Automation Engineer,co,63,68,5
Germany,Backend Developer,sme,55,72,17
Germany,Backend Developer,st,69,92,23
Germany,Backend Developer,co,82,110,28
Germany,BI Analyst,sme,56,62,6
Germany,BI Analyst,st,58,64,6
Germany,BI Analyst,co,58,64,6
Germany,BI Developer,sme,49,59,10
Germany,BI Developer,st,69,79,10
Germany,BI Developer,co,72,84,12
Germany,BI Manager,sme,80,91,11
Germany,BI Manager,st,86,96,10
Germany,BI Manager,co,112,121,9
Germany,Cyber Security Analyst,sme,60,68,8
Germany,Cyber Security Analyst,st,63,70,7
Germany,Cyber Security Analyst,co,62,68,6
Germany,Data Analyst,sme,49,59,10
Germany,Data Analyst,st,50,62,12
Germany,Data Analyst,co,51,63,12
Germany,Data Engineer,sme,55,72,17
Germany,Data Engineer,st,68,88,20
Germany,Data Engineer,co,80,104,24
Germany,Devops Engineer,sme,57,64,7
Germany,Devops Engineer,st,70,85,15
Germany,Devops Engineer,co,81,102,21
Germany,Frontend Developer,sme,56,67,11
Germany,Frontend Developer,st,72,86,14
Germany,Frontend Developer,co,88,98,10
Germany,Full Stack Developer,sme,57,71,14
Germany,Full Stack Developer,st,82,98,16
Germany,Full Stack Developer,co,86,104,18
Germany,Machine Learning Engineer,sme,63,76,13
Germany,Machine Learning Engineer,st,88,105,17
Germany,Machine Learning Engineer,co,99,114,15
Germany,Network Architect,sme,56,69,13
Germany,Network Architect,st,61,75,14
Germany,Network Architect,co,78,90,12
Germany,Python Developer,sme,47,56,9
Germany,Python Developer,st,64,78,14
Germany,Python Developer,co,69,83,14
Germany,QA Analyst,sme,54,61,7
Germany,QA Analyst,st,55,64,9
Germany,QA Analyst,co,56,63,7
Germany,QA Engineer,sme,54,57,3
Germany,QA Engineer,st,61,66,5
Germany,QA Engineer,co,62,68,6
Germany,QA Manager,sme,80,114,34
Germany,QA Manager,st,91,113,22
Germany,QA Manager,co,91,109,18
Germany,Salesforce Developer,sme,42,51,9
Germany,Salesforce Developer,st,43,52,9
Germany,Salesforce Developer,co,49,58,9
Germany,Scrum Master,sme,62,78,16
Germany,Scrum Master,st,68,87,19
Germany,Scrum Master,co,86,98,12
Germany,Software Developer,sme,54,61,7
Germany,Software Developer,st,67,79,12
Germany,Software Developer,co,70,83,13
Germany,Software Engineer,sme,57,76,19
Germany,Software Engineer,st,58,74,16
Germany,Software Engineer,co,73,91,18
Germany,Software Engineering Manager,sme,75,81,6
Germany,Software Engineering Manager,st,92,100,8
Germany,Software Engineering Manager,co,125,138,13
Germany,Solutions Analyst,sme,56,77,21
Germany,Solutions Analyst,st,67,86,19
Germany,Solutions Analyst,co,70,89,19
Germany,Systems Architect,sme,63,74,11
Germany,Systems Architect,st,63,74,11
Germany,Systems Architect,co,115,135,20
Germany,Systems Engineer,sme,62,71,9
Germany,Systems Engineer,st,77,92,15
Germany,Systems Engineer,co,77,88,11
Germany,Test Automation Engineer,sme,43,54,11
Germany,Test Automation Engineer,st,46,55,9
Germany,Test Automation Engineer,co,66,67,1
Greece,Applications Developer,sme,27,31,4
Greece,Applications Developer,st,30,38,8
Greece,Applications Developer,co,38,43,5
Greece,Automation Engineer,sme,23,28,5
Greece,Automation Engineer,st,33,39,6
Greece,Automation Engineer,co,35,40,5
Greece,Backend Developer,sme,26,32,6
Greece,Backend Developer,st,30,40,10
Greece,Backend Developer,co,31,45,14
Greece,BI Analyst,sme,25,31,6
Greece,BI Analyst,st,28,32,4
Greece,BI Analyst,co,28,32,4
Greece,BI Developer,sme,24,31,7
Greece,BI Developer,st,32,38,6
Greece,BI Developer,co,36,40,4
Greece,BI Manager,sme,46,55,9
Greece,BI Manager,st,48,57,9
Greece,BI Manager,co,60,70,10
Greece,Cyber Security Analyst,sme,31,42,11
Greece,Cyber Security Analyst,st,34,43,9
Greece,Cyber Security Analyst,co,34,42,8
Greece,Data Analyst,sme,27,34,7
Greece,Data Analyst,st,30,35,5
Greece,Data Analyst,co,31,35,4
Greece,Data Engineer,sme,28,36,8
Greece,Data Engineer,st,36,46,10
Greece,Data Engineer,co,42,55,13
Greece,Devops Engineer,sme,28,33,5
Greece,Devops Engineer,st,35,45,10
Greece,Devops Engineer,co,40,52,12
Greece,Frontend Developer,sme,30,38,8
Greece,Frontend Developer,st,38,46,8
Greece,Frontend Developer,co,45,60,15
Greece,Full Stack Developer,sme,30,39,9
Greece,Full Stack Developer,st,36,47,11
Greece,Full Stack Developer,co,38,49,11
Greece,Machine Learning Engineer,sme,36,42,6
Greece,Machine Learning Engineer,st,43,53,10
Greece,Machine Learning Engineer,co,45,61,16
Greece,Network Architect,sme,31,38,7
Greece,Network Architect,st,34,42,8
Greece,Network Architect,co,44,56,12
Greece,Python Developer,sme,22,28,6
Greece,Python Developer,st,29,37,8
Greece,Python Developer,co,31,37,6
Greece,QA Analyst,sme,28,36,8
Greece,QA Analyst,st,30,36,6
Greece,QA Analyst,co,30,36,6
Greece,QA Engineer,sme,28,32,4
Greece,QA Engineer,st,33,42,9
Greece,QA Engineer,co,38,43,5
Greece,QA Manager,sme,45,52,7
Greece,QA Manager,st,55,61,6
Greece,QA Manager,co,56,61,5
Greece,Salesforce Developer,sme,25,30,5
Greece,Salesforce Developer,st,24,29,5
Greece,Salesforce Developer,co,26,32,6
Greece,Scrum Master,sme,28,41,13
Greece,Scrum Master,st,31,44,13
Greece,Scrum Master,co,40,49,9
Greece,Software Developer,sme,30,35,5
Greece,Software Developer,st,39,45,6
Greece,Software Developer,co,41,48,7
Greece,Software Engineer,sme,29,38,9
Greece,Software Engineer,st,32,42,10
Greece,Software Engineer,co,38,53,15
Greece,Software Engineering Manager,sme,43,48,5
Greece,Software Engineering Manager,st,53,58,5
Greece,Software Engineering Manager,co,72,82,10
Greece,Solutions Analyst,sme,30,34,4
Greece,Solutions Analyst,st,31,41,10
Greece,Solutions Analyst,co,32,41,9
Greece,Systems Architect,sme,47,51,4
Greece,Systems Architect,st,35,40,5
Greece,Systems Architect,co,48,58,10
Greece,Systems Engineer,sme,36,43,7
Greece,Systems Engineer,st,44,55,11
Greece,Systems Engineer,co,45,60,15
Greece,Test Automation Engineer,sme,23,28,5
Greece,Test Automation Engineer,st,25,33,8
Greece,Test Automation Engineer,co,31,40,9
Ireland,Applications Developer,sme,48,62,14
Ireland,Applications Developer,st,62,68,6
Ireland,Applications Developer,co,61,68,7
Ireland,Automation Engineer,sme,45,52,7
Ireland,Automation Engineer,st,59,66,7
Ireland,Automation Engineer,co,61,68,7
Ireland,Backend Developer,sme,52,67,15
Ireland,Backend Developer,st,61,80,19
Ireland,Backend Developer,co,70,92,22
Ireland,BI Analyst,sme,52,59,7
Ireland,BI Analyst,st,55,62,7
Ireland,BI Analyst,co,55,62,7
Ireland,BI Developer,sme,50,54,4
Ireland,BI Developer,st,58,66,8
Ireland,BI Developer,co,60,67,7
Ireland,BI Manager,sme,71,82,11
Ireland,BI Manager,st,76,87,11
Ireland,BI Manager,co,101,109,8
Ireland,Cyber Security Analyst,sme,66,75,9
Ireland,Cyber Security Analyst,st,66,85,19
Ireland,Cyber Security Analyst,co,67,86,19
Ireland,Data Analyst,sme,53,62,9
Ireland,Data Analyst,st,58,66,8
Ireland,Data Analyst,co,58,66,8
Ireland,Data Engineer,sme,51,66,15
Ireland,Data Engineer,st,62,81,19
Ireland,Data Engineer,co,69,87,18
Ireland,Devops Engineer,sme,55,70,15
Ireland,Devops Engineer,st,65,79,14
Ireland,Devops Engineer,co,77,95,18
Ireland,Frontend Developer,sme,53,60,7
Ireland,Frontend Developer,st,61,73,12
Ireland,Frontend Developer,co,72,86,14
Ireland,Full Stack Developer,sme,54,67,13
Ireland,Full Stack Developer,st,65,81,16
Ireland,Full Stack Developer,co,68,84,16
Ireland,Machine Learning Engineer,sme,56,65,9
Ireland,Machine Learning Engineer,st,69,79,10
Ireland,Machine Learning Engineer,co,74,82,8
Ireland,Network Architect,sme,58,69,11
Ireland,Network Architect,st,65,74,9
Ireland,Network Architect,co,82,102,20
Ireland,Python Developer,sme,45,54,9
Ireland,Python Developer,st,60,71,11
Ireland,Python Developer,co,62,75,13
Ireland,QA Analyst,sme,55,61,6
Ireland,QA Analyst,st,57,64,7
Ireland,QA Analyst,co,57,65,8
Ireland,QA Engineer,sme,54,62,8
Ireland,QA Engineer,st,63,69,6
Ireland,QA Engineer,co,64,68,4
Ireland,QA Manager,sme,76,107,31
Ireland,QA Manager,st,86,119,33
Ireland,QA Manager,co,86,119,33
Ireland,Salesforce Developer,sme,43,51,8
Ireland,Salesforce Developer,st,45,53,8
Ireland,Salesforce Developer,co,48,58,10
Ireland,Scrum Master,sme,56,65,9
Ireland,Scrum Master,st,60,70,10
Ireland,Scrum Master,co,72,86,14
Ireland,Software Developer,sme,56,62,6
Ireland,Software Developer,st,74,88,14
Ireland,Software Developer,co,79,94,15
Ireland,Software Engineer,sme,52,69,17
Ireland,Software Engineer,st,56,74,18
Ireland,Software Engineer,co,78,98,20
Ireland,Software Engineering Manager,sme,62,68,6
Ireland,Software Engineering Manager,st,80,88,8
Ireland,Software Engineering Manager,co,110,121,11
Ireland,Solutions Analyst,sme,54,64,10
Ireland,Solutions Analyst,st,55,72,17
Ireland,Solutions Analyst,co,55,75,20
Ireland,Systems Architect,sme,63,79,16
Ireland,Systems Architect,st,68,81,13
Ireland,Systems Architect,co,107,127,20
Ireland,Systems Engineer,sme,58,69,11
Ireland,Systems Engineer,st,71,84,13
Ireland,Systems Engineer,co,73,86,13
Ireland,Test Automation Engineer,sme,40,52,12
Ireland,Test Automation Engineer,st,47,61,14
Ireland,Test Automation Engineer,co,70,84,14
Italy,Applications Developer,sme,46,49,3
Italy,Applications Developer,st,50,61,11
Italy,Applications Developer,co,50,59,9
Italy,Automation Engineer,sme,36,45,9
Italy,Automation Engineer,st,49,57,8
Italy,Automation Engineer,co,51,59,8
Italy,Backend Developer,sme,43,52,9
Italy,Backend Developer,st,51,64,13
Italy,Backend Developer,co,58,74,16
Italy,BI Analyst,sme,41,47,6
Italy,BI Analyst,st,43,48,5
Italy,BI Analyst,co,44,48,4
Italy,BI Developer,sme,37,42,5
Italy,BI Developer,st,47,52,5
Italy,BI Developer,co,47,52,5
Italy,BI Manager,sme,64,72,8
Italy,BI Manager,st,68,78,10
Italy,BI Manager,co,87,97,10
Italy,Cyber Security Analyst,sme,48,55,7
Italy,Cyber Security Analyst,st,49,57,8
Italy,Cyber Security Analyst,co,50,60,10
Italy,Data Analyst,sme,41,48,7
Italy,Data Analyst,st,44,51,7
Italy,Data Analyst,co,45,51,6
Italy,Data Engineer,sme,41,54,13
Italy,Data Engineer,st,53,69,16
Italy,Data Engineer,co,60,78,18
Italy,Devops Engineer,sme,44,55,11
Italy,Devops Engineer,st,52,64,12
Italy,Devops Engineer,co,60,74,14
Italy,Frontend Developer,sme,45,53,8
Italy,Frontend Developer,st,53,65,12
Italy,Frontend Developer,co,63,81,18
Italy,Full Stack Developer,sme,42,54,12
Italy,Full Stack Developer,st,50,65,15
Italy,Full Stack Developer,co,51,65,14
Italy,Machine Learning Engineer,sme,46,56,10
Italy,Machine Learning Engineer,st,55,64,9
Italy,Machine Learning Engineer,co,58,70,12
Italy,Network Architect,sme,44,55,11
Italy,Network Architect,st,48,61,13
Italy,Network Architect,co,62,76,14
Italy,Python Developer,sme,36,43,7
Italy,Python Developer,st,44,55,11
Italy,Python Developer,co,47,57,10
Italy,QA Analyst,sme,47,54,7
Italy,QA Analyst,st,50,58,8
Italy,QA Analyst,co,52,59,7
Italy,QA Engineer,sme,40,49,9
Italy,QA Engineer,st,49,56,7
Italy,QA Engineer,co,53,58,5
Italy,QA Manager,sme,70,76,6
Italy,QA Manager,st,77,93,16
Italy,QA Manager,co,77,93,16
Italy,Salesforce Developer,sme,35,39,4
Italy,Salesforce Developer,st,36,42,6
Italy,Salesforce Developer,co,45,52,7
Italy,Scrum Master,sme,39,50,11
Italy,Scrum Master,st,42,52,10
Italy,Scrum Master,co,50,60,10
Italy,Software Developer,sme,45,54,9
Italy,Software Developer,st,60,72,12
Italy,Software Developer,co,65,77,12
Italy,Software Engineer,sme,42,56,14
Italy,Software Engineer,st,44,60,16
Italy,Software Engineer,co,53,72,19
Italy,Software Engineering Manager,sme,60,65,5
Italy,Software Engineering Manager,st,70,81,11
Italy,Software Engineering Manager,co,97,112,15
Italy,Solutions Analyst,sme,46,55,9
Italy,Solutions Analyst,st,47,57,10
Italy,Solutions Analyst,co,47,57,10
Italy,Systems Architect,sme,50,65,15
Italy,Systems Architect,st,57,70,13
Italy,Systems Architect,co,98,112,14
Italy,Systems Engineer,sme,47,54,7
Italy,Systems Engineer,st,55,65,10
Italy,Systems Engineer,co,59,70,11
Italy,Test Automation Engineer,sme,33,40,7
Italy,Test Automation Engineer,st,37,45,8
Italy,Test Automation Engineer,co,47,53,6
Luxembourg,Applications Developer,sme,63,74,11
Luxembourg,Applications Developer,st,67,76,9
Luxembourg,Applications Developer,co,65,76,11
Luxembourg,Automation Engineer,sme,55,62,7
Luxembourg,Automation Engineer,st,66,74,8
Luxembourg,Automation Engineer,co,68,76,8
Luxembourg,Backend Developer,sme,62,76,14
Luxembourg,Backend Developer,st,76,95,19
Luxembourg,Backend Developer,co,90,116,26
Luxembourg,BI Analyst,sme,58,68,10
Luxembourg,BI Analyst,st,60,70,10
Luxembourg,BI Analyst,co,60,70,10
Luxembourg,BI Developer,sme,55,60,5
Luxembourg,BI Developer,st,64,74,10
Luxembourg,BI Developer,co,64,74,10
Luxembourg,BI Manager,sme,84,94,10
Luxembourg,BI Manager,st,89,99,10
Luxembourg,BI Manager,co,115,127,12
Luxembourg,Cyber Security Analyst,sme,71,77,6
Luxembourg,Cyber Security Analyst,st,71,78,7
Luxembourg,Cyber Security Analyst,co,73,78,5
Luxembourg,Data Analyst,sme,66,76,10
Luxembourg,Data Analyst,st,70,83,13
Luxembourg,Data Analyst,co,72,84,12
Luxembourg,Data Engineer,sme,61,77,16
Luxembourg,Data Engineer,st,72,93,21
Luxembourg,Data Engineer,co,81,106,25
Luxembourg,Devops Engineer,sme,61,72,11
Luxembourg,Devops Engineer,st,72,85,13
Luxembourg,Devops Engineer,co,84,98,14
Luxembourg,Frontend Developer,sme,64,78,14
Luxembourg,Frontend Developer,st,80,93,13
Luxembourg,Frontend Developer,co,96,104,8
Luxembourg,Full Stack Developer,sme,60,74,14
Luxembourg,Full Stack Developer,st,75,93,18
Luxembourg,Full Stack Developer,co,78,98,20
Luxembourg,Machine Learning Engineer,sme,68,84,16
Luxembourg,Machine Learning Engineer,st,82,101,19
Luxembourg,Machine Learning Engineer,co,85,111,26
Luxembourg,Network Architect,sme,67,74,7
Luxembourg,Network Architect,st,73,83,10
Luxembourg,Network Architect,co,93,108,15
Luxembourg,Python Developer,sme,51,62,11
Luxembourg,Python Developer,st,54,64,10
Luxembourg,Python Developer,co,73,85,12
Luxembourg,QA Analyst,sme,61,70,9
Luxembourg,QA Analyst,st,66,75,9
Luxembourg,QA Analyst,co,67,76,9
Luxembourg,QA Engineer,sme,61,66,5
Luxembourg,QA Engineer,st,72,79,7
Luxembourg,QA Engineer,co,75,82,7
Luxembourg,QA Manager,sme,90,108,18
Luxembourg,QA Manager,st,97,112,15
Luxembourg,QA Manager,co,97,112,15
Luxembourg,Salesforce Developer,sme,47,57,10
Luxembourg,Salesforce Developer,st,52,61,9
Luxembourg,Salesforce Developer,co,60,66,6
Luxembourg,Scrum Master,sme,58,74,16
Luxembourg,Scrum Master,st,65,80,15
Luxembourg,Scrum Master,co,79,96,17
Luxembourg,Software Developer,sme,60,70,10
Luxembourg,Software Developer,st,77,93,16
Luxembourg,Software Developer,co,80,97,17
Luxembourg,Software Engineer,sme,59,77,18
Luxembourg,Software Engineer,st,63,82,19
Luxembourg,Software Engineer,co,81,105,24
Luxembourg,Software Engineering Manager,sme,78,88,10
Luxembourg,Software Engineering Manager,st,95,107,12
Luxembourg,Software Engineering Manager,co,130,148,18
Luxembourg,Solutions Analyst,sme,61,80,19
Luxembourg,Solutions Analyst,st,66,84,18
Luxembourg,Solutions Analyst,co,67,84,17
Luxembourg,Systems Architect,sme,73,84,11
Luxembourg,Systems Architect,st,78,89,11
Luxembourg,Systems Architect,co,128,157,29
Luxembourg,Systems Engineer,sme,64,72,8
Luxembourg,Systems Engineer,st,73,87,14
Luxembourg,Systems Engineer,co,76,88,12
Luxembourg,Test Automation Engineer,sme,51,61,10
Luxembourg,Test Automation Engineer,st,53,62,9
Luxembourg,Test Automation Engineer,co,66,75,9
Malta,Applications Developer,sme,43,52,9
Malta,Applications Developer,st,54,65,11
Malta,Applications Developer,co,56,69,13
Malta,Automation Engineer,sme,38,44,6
Malta,Automation Engineer,st,52,59,7
Malta,Automation Engineer,co,53,59,6
Malta,Backend Developer,sme,42,50,8
Malta,Backend Developer,st,57,69,12
Malta,Backend Developer,co,68,83,15
Malta,BI Analyst,sme,39,45,6
Malta,BI Analyst,st,44,50,6
Malta,BI Analyst,co,44,50,6
Malta,BI Developer,sme,38,43,5
Malta,BI Developer,st,51,59,8
Malta,BI Developer,co,53,61,8
Malta,BI Manager,sme,67,78,11
Malta,BI Manager,st,71,82,11
Malta,BI Manager,co,92,102,10
Malta,Cyber Security Analyst,sme,52,58,6
Malta,Cyber Security Analyst,st,58,64,6
Malta,Cyber Security Analyst,co,59,66,7
Malta,Data Analyst,sme,47,54,7
Malta,Data Analyst,st,51,58,7
Malta,Data Analyst,co,51,59,8
Malta,Data Engineer,sme,44,61,17
Malta,Data Engineer,st,60,78,18
Malta,Data Engineer,co,69,90,21
Malta,Devops Engineer,sme,50,64,14
Malta,Devops Engineer,st,65,84,19
Malta,Devops Engineer,co,79,100,21
Malta,Frontend Developer,sme,47,58,11
Malta,Frontend Developer,st,66,78,12
Malta,Frontend Developer,co,79,94,15
Malta,Full Stack Developer,sme,49,64,15
Malta,Full Stack Developer,st,67,87,20
Malta,Full Stack Developer,co,70,94,24
Malta,Machine Learning Engineer,sme,46,63,17
Malta,Machine Learning Engineer,st,64,81,17
Malta,Machine Learning Engineer,co,71,87,16
Malta,Network Architect,sme,44,55,11
Malta,Network Architect,st,52,63,11
Malta,Network Architect,co,75,86,11
Malta,Python Developer,sme,35,43,8
Malta,Python Developer,st,47,58,11
Malta,Python Developer,co,50,63,13
Malta,QA Analyst,sme,46,51,5
Malta,QA Analyst,st,50,55,5
Malta,QA Analyst,co,50,54,4
Malta,QA Engineer,sme,40,45,5
Malta,QA Engineer,st,53,58,5
Malta,QA Engineer,co,58,64,6
Malta,QA Manager,sme,70,91,21
Malta,QA Manager,st,79,113,34
Malta,QA Manager,co,80,114,34
Malta,Salesforce Developer,sme,30,36,6
Malta,Salesforce Developer,st,32,39,7
Malta,Salesforce Developer,co,44,52,8
Malta,Scrum Master,sme,44,53,9
Malta,Scrum Master,st,47,57,10
Malta,Scrum Master,co,54,66,12
Malta,Software Developer,sme,44,51,7
Malta,Software Developer,st,63,74,11
Malta,Software Developer,co,67,80,13
Malta,Software Engineer,sme,37,54,17
Malta,Software Engineer,st,44,60,16
Malta,Software Engineer,co,58,80,22
Malta,Software Engineering Manager,sme,54,64,10
Malta,Software Engineering Manager,st,66,81,15
Malta,Software Engineering Manager,co,90,109,19
Malta,Solutions Analyst,sme,45,57,12
Malta,Solutions Analyst,st,46,58,12
Malta,Solutions Analyst,co,47,57,10
Malta,Systems Architect,sme,51,57,6
Malta,Systems Architect,st,56,69,13
Malta,Systems Architect,co,110,131,21
Malta,Systems Engineer,sme,45,53,8
Malta,Systems Engineer,st,59,70,11
Malta,Systems Engineer,co,64,72,8
Malta,Test Automation Engineer,sme,28,36,8
Malta,Test Automation Engineer,st,37,45,8
Malta,Test Automation Engineer,co,54,58,4
Netherlands,Applications Developer,sme,47,58,11
Netherlands,Applications Developer,st,59,70,11
Netherlands,Applications Developer,co,61,68,7
Netherlands,Automation Engineer,sme,48,51,3
Netherlands,Automation Engineer,st,57,62,5
Netherlands,Automation Engineer,co,58,64,6
Netherlands,Backend Developer,sme,50,61,11
Netherlands,Backend Developer,st,62,78,16
Netherlands,Backend Developer,co,71,92,21
Netherlands,BI Analyst,sme,50,58,8
Netherlands,BI Analyst,st,53,60,7
Netherlands,BI Analyst,co,53,61,8
Netherlands,BI Developer,sme,47,51,4
Netherlands,BI Developer,st,57,64,7
Netherlands,BI Developer,co,58,66,8
Netherlands,BI Manager,sme,78,89,11
Netherlands,BI Manager,st,83,94,11
Netherlands,BI Manager,co,107,118,11
Netherlands,Cyber Security Analyst,sme,55,66,11
Netherlands,Cyber Security Analyst,st,57,71,14
Netherlands,Cyber Security Analyst,co,56,72,16
Netherlands,Data Analyst,sme,52,59,7
Netherlands,Data Analyst,st,56,64,8
Netherlands,Data Analyst,co,58,64,6
Netherlands,Data Engineer,sme,50,65,15
Netherlands,Data Engineer,st,60,77,17
Netherlands,Data Engineer,co,69,90,21
Netherlands,Devops Engineer,sme,50,62,12
Netherlands,Devops Engineer,st,63,81,18
Netherlands,Devops Engineer,co,71,89,18
Netherlands,Frontend Developer,sme,50,61,11
Netherlands,Frontend Developer,st,63,75,12
Netherlands,Frontend Developer,co,73,93,20
Netherlands,Full Stack Developer,sme,51,65,14
Netherlands,Full Stack Developer,st,62,79,17
Netherlands,Full Stack Developer,co,63,82,19
Netherlands,Machine Learning Engineer,sme,53,60,7
Netherlands,Machine Learning Engineer,st,65,76,11
Netherlands,Machine Learning Engineer,co,70,79,9
Netherlands,Network Architect,sme,52,62,10
Netherlands,Network Architect,st,60,70,10
Netherlands,Network Architect,co,81,94,13
Netherlands,Python Developer,sme,44,54,10
Netherlands,Python Developer,st,54,66,12
Netherlands,Python Developer,co,54,68,14
Netherlands,QA Analyst,sme,53,60,7
Netherlands,QA Analyst,st,55,63,8
Netherlands,QA Analyst,co,56,63,7
Netherlands,QA Engineer,sme,46,53,7
Netherlands,QA Engineer,st,59,66,7
Netherlands,QA Engineer,co,61,67,6
Netherlands,QA Manager,sme,80,98,18
Netherlands,QA Manager,st,91,110,19
Netherlands,QA Manager,co,91,110,19
Netherlands,Salesforce Developer,sme,42,51,9
Netherlands,Salesforce Developer,st,42,50,8
Netherlands,Salesforce Developer,co,50,57,7
Netherlands,Scrum Master,sme,55,73,18
Netherlands,Scrum Master,st,58,77,19
Netherlands,Scrum Master,co,76,89,13
Netherlands,Software Developer,sme,55,67,12
Netherlands,Software Developer,st,75,89,14
Netherlands,Software Developer,co,79,95,16
Netherlands,Software Engineer,sme,48,65,17
Netherlands,Software Engineer,st,51,70,19
Netherlands,Software Engineer,co,64,87,23
Netherlands,Software Engineering Manager,sme,75,84,9
Netherlands,Software Engineering Manager,st,92,104,12
Netherlands,Software Engineering Manager,co,124,141,17
Netherlands,Solutions Analyst,sme,60,77,17
Netherlands,Solutions Analyst,st,66,81,15
Netherlands,Solutions Analyst,co,62,82,20
Netherlands,Systems Architect,sme,58,71,13
Netherlands,Systems Architect,st,66,78,12
Netherlands,Systems Architect,co,118,142,24
Netherlands,Systems Engineer,sme,59,68,9
Netherlands,Systems Engineer,st,72,85,13
Netherlands,Systems Engineer,co,76,96,20
Netherlands,Test Automation Engineer,sme,45,60,15
Netherlands,Test Automation Engineer,st,49,59,10
Netherlands,Test Automation Engineer,co,64,71,7
Norway,Applications Developer,sme,60,65,5
Norway,Applications Developer,st,72,82,10
Norway,Applications Developer,co,73,83,10
Norway,Automation Engineer,sme,50,55,5
Norway,Automation Engineer,st,67,75,8
Norway,Automation Engineer,co,70,79,9
Norway,Backend Developer,sme,54,69,15
Norway,Backend Developer,st,73,93,20
Norway,Backend Developer,co,86,117,31
Norway,BI Analyst,sme,60,67,7
Norway,BI Analyst,st,64,72,8
Norway,BI Analyst,co,64,72,8
Norway,BI Developer,sme,49,58,9
Norway,BI Developer,st,66,76,10
Norway,BI Developer,co,70,80,10
Norway,BI Manager,sme,70,78,8
Norway,BI Manager,st,74,84,10
Norway,BI Manager,co,92,105,13
Norway,Cyber Security Analyst,sme,78,88,10
Norway,Cyber Security Analyst,st,82,93,11
Norway,Cyber Security Analyst,co,86,95,9
Norway,Data Analyst,sme,65,79,14
Norway,Data Analyst,st,70,85,15
Norway,Data Analyst,co,72,87,15
Norway,Data Engineer,sme,63,80,17
Norway,Data Engineer,st,80,102,22
Norway,Data Engineer,co,93,119,26
Norway,Devops Engineer,sme,57,74,17
Norway,Devops Engineer,st,74,91,17
Norway,Devops Engineer,co,87,109,22
Norway,Frontend Developer,sme,53,66,13
Norway,Frontend Developer,st,74,90,16
Norway,Frontend Developer,co,86,107,21
Norway,Full Stack Developer,sme,55,70,15
Norway,Full Stack Developer,st,76,97,21
Norway,Full Stack Developer,co,80,103,23
Norway,Machine Learning Engineer,sme,62,76,14
Norway,Machine Learning Engineer,st,88,104,16
Norway,Machine Learning Engineer,co,96,123,27
Norway,Network Architect,sme,64,77,13
Norway,Network Architect,st,75,87,12
Norway,Network Architect,co,105,118,13
