id,title,category,company,level,salary,link,format,city/country
32893,C++ Developer,development,Aston,middle,184100,https://hirehi.ru/development/c-developer-32893,удалённо,Не указано
32892,devops engineer,devops,NDA,senior,342400,https://hirehi.ru/devops/devops-engineer-32892,удалённо,Не указано
32891,automation qa,qa,Eclipse Digital,senior,231600,https://hirehi.ru/qa/automation-qa-32891,удалённо,РФ
32890,qa engineer (manual),qa,NDA,senior,241400,https://hirehi.ru/qa/qa-engineer-manual-32890,удалённо,РФ
32889,data engineer,development,NDA,middle,253100,https://hirehi.ru/development/data-engineer-32889,удалённо,РФ
32888,python developer,development,Hiiro,intern,60000,https://hirehi.ru/development/python-developer-32888,удалённо,Не указано
32887,android developer,development,World Chess,middle,280300,https://hirehi.ru/development/android-developer-32887,удалённо,Не указано
32886,java developer,development,Иннотех,lead,412000,https://hirehi.ru/development/java-developer-32886,удалённо,РФ
32885,владелец продукта,management,Сбер,senior,388100,https://hirehi.ru/management/vladelets-produkta-32885,гибрид,Москва
32884,C++ Developer,development,Сбер,middle,238900,https://hirehi.ru/development/c-developer-32884,гибрид,Москва
32883,Продуктовый дизайнер,design,Peaky Hunters,lead,200000,https://hirehi.ru/design/produktovyi-dizainer-32883,удалённо,Не указано
32882,ux/ui-дизайнер,design,IPChain,junior,200000,https://hirehi.ru/design/ux-ui-dizainer-32882,офис,Москва
32881,Java Developer,development,Сбер,middle,231800,https://hirehi.ru/development/java-developer-32881,офис,Москва
32880,Системный аналитик,analytics,Сбер,middle,204700,https://hirehi.ru/analytics/sistemnyi-analitik-32880,офис,Москва
32879,Дата аналитик,analytics,Wildberries,junior,114800,https://hirehi.ru/analytics/data-analitik-32879,гибрид,Москва
32878,ux/ui designer,design,NDA,middle,40700,https://hirehi.ru/design/ux-ui-designer-32878,удалённо,Не указано
32877,go developer,development,NDA,junior,40000,https://hirehi.ru/development/go-developer-32877,удалённо,Не указано
32876,Менеджер продукта,management,Яндекс Эйчартех,senior,332000,https://hirehi.ru/management/menedzher-produkta-32876,гибрид,Санкт-Петербург
32875,Продуктовый дизайнер,design,Vondo,lead,170000,https://hirehi.ru/design/produktovyi-dizainer-32875,удалённо,Не указано
32874,go developer,development,STRABA,middle,401200,https://hirehi.ru/development/go-developer-32874,офис,Лимассол
32873,frontend developer,development,Cyber Yozh,senior,312700,https://hirehi.ru/development/frontend-developer-32873,удалённо,Не указано
32872,automation qa,qa,AGIMA,senior,180000,https://hirehi.ru/qa/automation-qa-32872,удалённо,РФ
32871,Тестировщик (manual),qa,Aston,lead,254800,https://hirehi.ru/qa/testirovschik-manual-32871,удалённо,Не указано
32870,QA тестировщик (manual),qa,Kaspi.kz,middle,152500,https://hirehi.ru/qa/qa-testirovschik-manual-32870,офис,Алматы
32869,support engineer,devops,NDA,middle,150000,https://hirehi.ru/devops/support-engineer-32869,удалённо,Не указано
32868,ux/ui дизайнер,design,Арт-Финтех,senior,250000,https://hirehi.ru/design/ux-ui-dizainer-32868,удалённо,Не указано
32867,cto,development,NDA,lead,495100,https://hirehi.ru/development/cto-32867,гибрид,Москва
32866,data analyst,analytics,8K Games,middle,274900,https://hirehi.ru/analytics/data-analyst-32866,удалённо,Не указано
32865,product lead,management,Мегафон,lead,360600,https://hirehi.ru/management/product-lead-32865,удалённо,РФ
32864,product manager,management,Park Technologies,middle,176700,https://hirehi.ru/management/product-manager-32864,офис,Астана
32863,Дата аналитик,analytics,Альфа-Банк,lead,365200,https://hirehi.ru/analytics/data-analitik-32863,гибрид,Москва
32862,automation qa,qa,Centicore,middle,200000,https://hirehi.ru/qa/automation-qa-32862,удалённо,РФ
32860,Python Developer,development,Сбер,middle,244800,https://hirehi.ru/development/python-developer-32860,гибрид,Москва
32859,Product Owner,management,2ГИС,junior,110600,https://hirehi.ru/management/product-owner-32859,удалённо,Не указано
32858,fullstack разработчик,development,Omega Solutions,senior,320200,https://hirehi.ru/development/fullstack-razrabotchik-32858,удалённо,Не указано
32857,Go разработчик,development,Mayflower,senior,360500,https://hirehi.ru/development/go-razrabotchik-32857,офис,Лимассол
32854,Аналитик данных,analytics,Сбер,middle,208200,https://hirehi.ru/analytics/analitik-dannyh-32854,офис,Москва
32851,проджект-менеджер,management,Спортс’‘,middle,174000,https://hirehi.ru/management/prodzhekt-menedzher-32851,гибрид,Москва
32849,Product Manager,management,Bell Integrator,middle,184500,https://hirehi.ru/management/product-manager-32849,удалённо,Не указано
32848,Продуктовый аналитик,analytics,Ozon,junior,104300,https://hirehi.ru/analytics/produktovyi-analitik-32848,удалённо,Не указано
32845,Product Manager,management,Дзен,middle,254200,https://hirehi.ru/management/product-manager-32845,гибрид,Москва
32844,support engineer,devops,Сбер,middle,181700,https://hirehi.ru/devops/support-engineer-32844,офис,Москва
